21.16, 4, orange, Entry
21.16, 4, orange, Exit
21.16, 2, orange, Entry
21.16, 2, orange, Exit
21.16, 1, orange, Entry
21.40, 2, white, Exit
21.40, 4, white, Entry
21.40, 4, white, Exit
21.40, 2, white, Entry
21.40, 2, white, Exit
21.40, 1, white, Entry
21.40, 1, white, Exit
21.40, 2, white, Entry
21.40, 1, orange, Exit
21.40, 3, orange, Entry
21.40, 3, orange, Exit
21.40, 4, orange, Entry
21.40, 4, orange, Exit
21.40, 2, orange, Entry
21.40, 2, orange, Exit
21.40, 1, orange, Entry
21.40, 1, orange, Exit
21.40, 4, orange, Entry
21.40, 4, orange, Exit
21.40, 2, orange, Entry
21.40, 2, orange, Exit
21.40, 1, orange, Entry
21.40, 1, orange, Exit
21.40, 2, orange, Entry
21.40, 2, orange, Exit
21.40, 1, orange, Entry
21.67, 1, orange, Exit
21.67, 3, orange, Entry
21.67, 3, orange, Exit
21.67, 4, orange, Entry
21.67, 4, orange, Exit
21.67, 2, orange, Entry
21.67, 2, orange, Exit
21.67, 1, orange, Entry
21.67, 1, orange, Exit
21.67, 4, orange, Entry
21.67, 4, orange, Exit
21.67, 2, orange, Entry
21.67, 2, orange, Exit
21.67, 1, orange, Entry
21.98, 1, orange, Exit
21.98, 3, orange, Entry
21.98, 3, orange, Exit
21.98, 4, orange, Entry
21.98, 4, orange, Exit
21.98, 2, orange, Entry
21.98, 2, orange, Exit
21.98, 1, orange, Entry
21.98, 1, orange, Exit
21.98, 2, orange, Entry
21.98, 2, orange, Exit
21.98, 4, orange, Entry
21.98, 4, orange, Exit
21.98, 2, orange, Entry
21.98, 2, orange, Exit
21.98, 1, orange, Entry
22.20, 2, white, Exit
22.20, 4, white, Entry
22.20, 4, white, Exit
22.20, 2, white, Entry
22.20, 1, orange, Exit
22.20, 4, orange, Entry
22.20, 4, orange, Exit
22.20, 3, orange, Entry
22.20, 3, orange, Exit
22.20, 4, orange, Entry
22.20, 4, orange, Exit
22.20, 2, orange, Entry
22.20, 2, orange, Exit
22.20, 4, orange, Entry
22.20, 4, orange, Exit
22.20, 2, orange, Entry
22.20, 2, orange, Exit
22.20, 1, orange, Entry
22.45, 2, white, Exit
22.45, 1, white, Entry
22.45, 1, white, Exit
22.45, 2, white, Entry
22.45, 1, orange, Exit
22.45, 3, orange, Entry
22.45, 3, orange, Exit
22.45, 4, orange, Entry
22.45, 4, orange, Exit
22.45, 2, orange, Entry
22.45, 2, orange, Exit
22.45, 4, orange, Entry
22.45, 4, orange, Exit
22.45, 2, orange, Entry
22.45, 2, orange, Exit
22.45, 1, orange, Entry
22.70, 1, orange, Exit
22.70, 3, orange, Entry
22.70, 3, orange, Exit
22.70, 4, orange, Entry
22.70, 4, orange, Exit
22.70, 2, orange, Entry
22.70, 2, orange, Exit
22.70, 4, orange, Entry
22.70, 4, orange, Exit
22.70, 2, orange, Entry
22.70, 2, orange, Exit
22.70, 1, orange, Entry
22.99, 2, white, Exit
22.99, 1, white, Entry
22.99, 1, orange, Exit
22.99, 3, orange, Entry
22.99, 3, orange, Exit
22.99, 4, orange, Entry
22.99, 4, orange, Exit
22.99, 2, orange, Entry
22.99, 2, orange, Exit
22.99, 4, orange, Entry
22.99, 4, orange, Exit
22.99, 2, orange, Entry
22.99, 2, orange, Exit
22.99, 1, orange, Entry
22.99, 1, orange, Exit
